stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
MBB,Ngân hàng,4.57,STOCK,2025-06-06,38,VNDAF
STB,Ngân hàng,4.52,STOCK,2025-06-06,38,VNDAF
GAS,Tiện ích,4.33,STOCK,2025-06-06,38,VNDAF
VPB,Ngân hàng,4.22,STOCK,2025-06-06,38,VNDAF
TCB,Ngân hàng,4.13,STOCK,2025-06-06,38,VNDAF
MWG,Bán lẻ,4.1,STOCK,2025-06-06,38,VNDAF
CTG,Ngân hàng,3.98,STOCK,2025-06-06,38,VNDAF
PVS,Khai khoáng,3.9,STOCK,2025-06-06,38,VNDAF
VNM,Thực phẩm - Đồ uống,3.85,STOCK,2025-06-06,38,VNDAF
PNJ,Sản xuất Phụ trợ,3.73,STOCK,2025-06-06,38,VNDAF
